Unique Identifier,BACnet Device ID,BACnet Object Type,BACnet Object ID,BRICK_POINT,BRICK_EQUIP_LIST,BRICK_LOCATION_LIST,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,Ground Truth Point Type,Schema Label,BACnet Type Str,Point Ref,Location,Equipment Type,Equipment Ref,Equipment Subsystems,Building,Comments
505_0_3002069,505,0,3002069,,,,EBU3B.RM-1104..ZN-T,NAE 05 N2 2 VMA 126 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,RM-1104,VAV,1104,,EBU3B,
506_0_3001673,506,0,3001673,,,,EBU3B.RM-2270..ZN-T,NAE 06 N2 1 VMA126 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-2270,VAV,2270,,EBU3B,
506_0_3003358,506,0,3003358,,,,EBU3B.RM-3142..ZN-T,NAE 06 N2 2 VMA126 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-3142,VAV,3142,,EBU3B,
505_0_3002075,505,0,3002075,,,,EBU3B.RM-1104..SUP-FLOW,NAE 05 N2 2 VMA 126 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,RM-1104,VAV,1104,,EBU3B,
506_0_3001679,506,0,3001679,,,,EBU3B.RM-2270..SUP-FLOW,NAE 06 N2 1 VMA126 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-2270,VAV,2270,,EBU3B,
506_0_3003364,506,0,3003364,,,,EBU3B.RM-3142..SUP-FLOW,NAE 06 N2 2 VMA126 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-3142,VAV,3142,,EBU3B,
505_0_3002073,505,0,3002073,,,,EBU3B.RM-1104..ACTHTGSP,NAE 05 N2 2 VMA 126 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,RM-1104,VAV,1104,,EBU3B,
506_0_3001677,506,0,3001677,,,,EBU3B.RM-2270..ACTHTGSP,NAE 06 N2 1 VMA126 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-2270,VAV,2270,,EBU3B,
506_0_3003362,506,0,3003362,,,,EBU3B.RM-3142..ACTHTGSP,NAE 06 N2 2 VMA126 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-3142,VAV,3142,,EBU3B,
505_0_3002072,505,0,3002072,,,,EBU3B.RM-1104..ACTCLGSP,NAE 05 N2 2 VMA 126 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,RM-1104,VAV,1104,,EBU3B,
506_0_3001676,506,0,3001676,,,,EBU3B.RM-2270..ACTCLGSP,NAE 06 N2 1 VMA126 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-2270,VAV,2270,,EBU3B,
506_0_3003361,506,0,3003361,,,,EBU3B.RM-3142..ACTCLGSP,NAE 06 N2 2 VMA126 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-3142,VAV,3142,,EBU3B,
505_0_3002074,505,0,3002074,,,,EBU3B.RM-1104..DMPR-POS,NAE 05 N2 2 VMA 126 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,RM-1104,VAV,1104,,EBU3B,
506_0_3001678,506,0,3001678,,,,EBU3B.RM-2270..DMPR-POS,NAE 06 N2 1 VMA126 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-2270,VAV,2270,,EBU3B,
506_0_3003363,506,0,3003363,,,,EBU3B.RM-3142..DMPR-POS,NAE 06 N2 2 VMA126 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-3142,VAV,3142,,EBU3B,
505_0_3001121,505,0,3001121,,,,EBU3B.RM-1106..ZN-T,NAE 05 N2 2 VMA 127 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,RM-1106,VAV,1106,,EBU3B,
506_0_3000044,506,0,3000044,,,,EBU3B.RM-2272..ZN-T,NAE 06 N2 1 VMA127 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-2272,VAV,2272,,EBU3B,
506_0_3001736,506,0,3001736,,,,EBU3B.RM-3121..ZN-T,NAE 06 N2 2 VMA127 ZN T,Zone Temperature \ Kitchen,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-3121,VAV,3121,,EBU3B,
505_0_3001127,505,0,3001127,,,,EBU3B.RM-1106..SUP-FLOW,NAE 05 N2 2 VMA 127 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,RM-1106,VAV,1106,,EBU3B,
506_0_3000050,506,0,3000050,,,,EBU3B.RM-2272..SUP-FLOW,NAE 06 N2 1 VMA127 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-2272,VAV,2272,,EBU3B,
506_0_3001742,506,0,3001742,,,,EBU3B.RM-3121..SUP-FLOW,NAE 06 N2 2 VMA127 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-3121,VAV,3121,,EBU3B,
505_0_3001125,505,0,3001125,,,,EBU3B.RM-1106..ACTHTGSP,NAE 05 N2 2 VMA 127 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,RM-1106,VAV,1106,,EBU3B,
506_0_3000048,506,0,3000048,,,,EBU3B.RM-2272..ACTHTGSP,NAE 06 N2 1 VMA127 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-2272,VAV,2272,,EBU3B,
506_0_3001740,506,0,3001740,,,,EBU3B.RM-3121..ACTHTGSP,NAE 06 N2 2 VMA127 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-3121,VAV,3121,,EBU3B,
505_0_3001124,505,0,3001124,,,,EBU3B.RM-1106..ACTCLGSP,NAE 05 N2 2 VMA 127 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,RM-1106,VAV,1106,,EBU3B,
506_0_3000047,506,0,3000047,,,,EBU3B.RM-2272..ACTCLGSP,NAE 06 N2 1 VMA127 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-2272,VAV,2272,,EBU3B,
506_0_3001739,506,0,3001739,,,,EBU3B.RM-3121..ACTCLGSP,NAE 06 N2 2 VMA127 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-3121,VAV,3121,,EBU3B,
505_0_3001126,505,0,3001126,,,,EBU3B.RM-1106..DMPR-POS,NAE 05 N2 2 VMA 127 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,RM-1106,VAV,1106,,EBU3B,
506_0_3000049,506,0,3000049,,,,EBU3B.RM-2272..DMPR-POS,NAE 06 N2 1 VMA127 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-2272,VAV,2272,,EBU3B,
506_0_3001741,506,0,3001741,,,,EBU3B.RM-3121..DMPR-POS,NAE 06 N2 2 VMA127 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-3121,VAV,3121,,EBU3B,
505_0_3001141,505,0,3001141,,,,EBU3B.RM-1108..ZN-T,NAE 05 N2 2 VMA 128 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,RM-1108,VAV,1108,,EBU3B,
506_0_3000064,506,0,3000064,,,,EBU3B.RM-2203..ZN-T,NAE 06 N2 1 VMA128 ZN T,Zone Temperature  /Electrical Rm,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-2203,VAV,2203,,EBU3B,
506_0_3001756,506,0,3001756,,,,EBU3B.RM-3109..ZN-T,NAE 06 N2 2 VMA128 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-3109,VAV,3109,,EBU3B,
505_0_3001147,505,0,3001147,,,,EBU3B.RM-1108..SUP-FLOW,NAE 05 N2 2 VMA 128 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,RM-1108,VAV,1108,,EBU3B,
506_0_3000070,506,0,3000070,,,,EBU3B.RM-2203..SUP-FLOW,NAE 06 N2 1 VMA128 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-2203,VAV,2203,,EBU3B,
506_0_3001762,506,0,3001762,,,,EBU3B.RM-3109..SUP-FLOW,NAE 06 N2 2 VMA128 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-3109,VAV,3109,,EBU3B,
505_0_3001145,505,0,3001145,,,,EBU3B.RM-1108..ACTHTGSP,NAE 05 N2 2 VMA 128 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,RM-1108,VAV,1108,,EBU3B,
506_0_3000068,506,0,3000068,,,,EBU3B.RM-2203..ACTHTGSP,NAE 06 N2 1 VMA128 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-2203,VAV,2203,,EBU3B,
506_0_3001760,506,0,3001760,,,,EBU3B.RM-3109..ACTHTGSP,NAE 06 N2 2 VMA128 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-3109,VAV,3109,,EBU3B,
505_0_3001144,505,0,3001144,,,,EBU3B.RM-1108..ACTCLGSP,NAE 05 N2 2 VMA 128 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,RM-1108,VAV,1108,,EBU3B,
506_0_3000067,506,0,3000067,,,,EBU3B.RM-2203..ACTCLGSP,NAE 06 N2 1 VMA128 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-2203,VAV,2203,,EBU3B,
506_0_3001759,506,0,3001759,,,,EBU3B.RM-3109..ACTCLGSP,NAE 06 N2 2 VMA128 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-3109,VAV,3109,,EBU3B,
505_0_3001146,505,0,3001146,,,,EBU3B.RM-1108..DMPR-POS,NAE 05 N2 2 VMA 128 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,RM-1108,VAV,1108,,EBU3B,
506_0_3000069,506,0,3000069,,,,EBU3B.RM-2203..DMPR-POS,NAE 06 N2 1 VMA128 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-2203,VAV,2203,,EBU3B,
506_0_3001761,506,0,3001761,,,,EBU3B.RM-3109..DMPR-POS,NAE 06 N2 2 VMA128 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-3109,VAV,3109,,EBU3B,
505_0_3001161,505,0,3001161,zone_temperature_sensor,,room,EBU3B.RM-1110..ZN-T,NAE 05 N2 2 VMA 129 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,RM-1110,VAV,1110,,EBU3B,
506_0_3000084,506,0,3000084,,,,EBU3B.RM-2215..ZN-T,NAE 06 N2 1 VMA129 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-2215,VAV,2215,,EBU3B,
506_0_3001776,506,0,3001776,,,,EBU3B.RM-4213..ZN-T,NAE 06 N2 2 VMA129 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-4213,VAV,4213,,EBU3B,
505_0_3001167,505,0,3001167,,,,EBU3B.RM-1110..SUP-FLOW,NAE 05 N2 2 VMA 129 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,RM-1110,VAV,1110,,EBU3B,
506_0_3000090,506,0,3000090,,,,EBU3B.RM-2215..SUP-FLOW,NAE 06 N2 1 VMA129 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-2215,VAV,2215,,EBU3B,
506_0_3001782,506,0,3001782,,,,EBU3B.RM-4213..SUP-FLOW,NAE 06 N2 2 VMA129 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-4213,VAV,4213,,EBU3B,
505_0_3001165,505,0,3001165,,,,EBU3B.RM-1110..ACTHTGSP,NAE 05 N2 2 VMA 129 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,RM-1110,VAV,1110,,EBU3B,
506_0_3000088,506,0,3000088,,,,EBU3B.RM-2215..ACTHTGSP,NAE 06 N2 1 VMA129 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-2215,VAV,2215,,EBU3B,
506_0_3001780,506,0,3001780,,,,EBU3B.RM-4213..ACTHTGSP,NAE 06 N2 2 VMA129 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-4213,VAV,4213,,EBU3B,
505_0_3001164,505,0,3001164,,,,EBU3B.RM-1110..ACTCLGSP,NAE 05 N2 2 VMA 129 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,RM-1110,VAV,1110,,EBU3B,
506_0_3000087,506,0,3000087,,,,EBU3B.RM-2215..ACTCLGSP,NAE 06 N2 1 VMA129 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-2215,VAV,2215,,EBU3B,
506_0_3001779,506,0,3001779,,,,EBU3B.RM-4213..ACTCLGSP,NAE 06 N2 2 VMA129 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-4213,VAV,4213,,EBU3B,
505_0_3001166,505,0,3001166,,,,EBU3B.RM-1110..DMPR-POS,NAE 05 N2 2 VMA 129 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,RM-1110,VAV,1110,,EBU3B,
506_0_3000089,506,0,3000089,,,,EBU3B.RM-2215..DMPR-POS,NAE 06 N2 1 VMA129 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-2215,VAV,2215,,EBU3B,
506_0_3001781,506,0,3001781,,,,EBU3B.RM-4213..DMPR-POS,NAE 06 N2 2 VMA129 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-4213,VAV,4213,,EBU3B,
505_0_3001181,505,0,3001181,,,,EBU3B.RM-1109..ZN-T,NAE 05 N2 2 VMA 130 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,RM-1109,VAV,1109,,EBU3B,
506_0_3000104,506,0,3000104,,,,EBU3B.RM-2217..ZN-T,NAE 06 N2 1 VMA130 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-2217,VAV,2217,,EBU3B,
506_0_3001797,506,0,3001797,,,,EBU3B.RM-4140..ZN-T,NAE 06 N2 2 VMA130 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-4140,VAV,4140,,EBU3B,
505_0_3001187,505,0,3001187,,,,EBU3B.RM-1109..SUP-FLOW,NAE 05 N2 2 VMA 130 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,RM-1109,VAV,1109,,EBU3B,
506_0_3000110,506,0,3000110,,,,EBU3B.RM-2217..SUP-FLOW,NAE 06 N2 1 VMA130 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-2217,VAV,2217,,EBU3B,
506_0_3001803,506,0,3001803,,,,EBU3B.RM-4140..SUP-FLOW,NAE 06 N2 2 VMA130 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-4140,VAV,4140,,EBU3B,
505_0_3001185,505,0,3001185,,,,EBU3B.RM-1109..ACTHTGSP,NAE 05 N2 2 VMA 130 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,RM-1109,VAV,1109,,EBU3B,
506_0_3000108,506,0,3000108,,,,EBU3B.RM-2217..ACTHTGSP,NAE 06 N2 1 VMA130 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-2217,VAV,2217,,EBU3B,
506_0_3001801,506,0,3001801,,,,EBU3B.RM-4140..ACTHTGSP,NAE 06 N2 2 VMA130 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-4140,VAV,4140,,EBU3B,
505_0_3001184,505,0,3001184,,,,EBU3B.RM-1109..ACTCLGSP,NAE 05 N2 2 VMA 130 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,RM-1109,VAV,1109,,EBU3B,
506_0_3000107,506,0,3000107,,,,EBU3B.RM-2217..ACTCLGSP,NAE 06 N2 1 VMA130 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-2217,VAV,2217,,EBU3B,
506_0_3001800,506,0,3001800,,,,EBU3B.RM-4140..ACTCLGSP,NAE 06 N2 2 VMA130 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-4140,VAV,4140,,EBU3B,
505_0_3001186,505,0,3001186,,,,EBU3B.RM-1109..DMPR-POS,NAE 05 N2 2 VMA 130 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,RM-1109,VAV,1109,,EBU3B,
506_0_3000109,506,0,3000109,,,,EBU3B.RM-2217..DMPR-POS,NAE 06 N2 1 VMA130 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-2217,VAV,2217,,EBU3B,
506_0_3001802,506,0,3001802,,,,EBU3B.RM-4140..DMPR-POS,NAE 06 N2 2 VMA130 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-4140,VAV,4140,,EBU3B,
505_0_3001201,505,0,3001201,,,,EBU3B.RM-1116..ZN-T,NAE 05 N2 2 VMA 131 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,RM-1116,VAV,1116,,EBU3B,
506_0_3000124,506,0,3000124,,,,EBU3B.RM-2231..ZN-T,NAE 06 N2 1 VMA131 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-2231,VAV,2231,,EBU3B,
506_0_3001818,506,0,3001818,,,,EBU3B.RM-4119..ZN-T,NAE 06 N2 2 VMA131 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-4119,VAV,4119,,EBU3B,
505_0_3001207,505,0,3001207,,,,EBU3B.RM-1116..SUP-FLOW,NAE 05 N2 2 VMA 131 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,RM-1116,VAV,1116,,EBU3B,
506_0_3000130,506,0,3000130,,,,EBU3B.RM-2231..SUP-FLOW,NAE 06 N2 1 VMA131 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-2231,VAV,2231,,EBU3B,
506_0_3001824,506,0,3001824,,,,EBU3B.RM-4119..SUP-FLOW,NAE 06 N2 2 VMA131 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-4119,VAV,4119,,EBU3B,
505_0_3001205,505,0,3001205,,,,EBU3B.RM-1116..ACTHTGSP,NAE 05 N2 2 VMA 131 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,RM-1116,VAV,1116,,EBU3B,
506_0_3000128,506,0,3000128,,,,EBU3B.RM-2231..ACTHTGSP,NAE 06 N2 1 VMA131 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-2231,VAV,2231,,EBU3B,
506_0_3001822,506,0,3001822,,,,EBU3B.RM-4119..ACTHTGSP,NAE 06 N2 2 VMA131 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-4119,VAV,4119,,EBU3B,
505_0_3001204,505,0,3001204,,,,EBU3B.RM-1116..ACTCLGSP,NAE 05 N2 2 VMA 131 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,RM-1116,VAV,1116,,EBU3B,
506_0_3000127,506,0,3000127,effective_cooling_temperature_setpoint,,room,EBU3B.RM-2231..ACTCLGSP,NAE 06 N2 1 VMA131 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-2231,VAV,2231,,EBU3B,
506_0_3001821,506,0,3001821,,,,EBU3B.RM-4119..ACTCLGSP,NAE 06 N2 2 VMA131 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-4119,VAV,4119,,EBU3B,
505_0_3001206,505,0,3001206,,,,EBU3B.RM-1116..DMPR-POS,NAE 05 N2 2 VMA 131 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,RM-1116,VAV,1116,,EBU3B,
506_0_3000129,506,0,3000129,,,,EBU3B.RM-2231..DMPR-POS,NAE 06 N2 1 VMA131 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-2231,VAV,2231,,EBU3B,
506_0_3001823,506,0,3001823,,,,EBU3B.RM-4119..DMPR-POS,NAE 06 N2 2 VMA131 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-4119,VAV,4119,,EBU3B,
505_0_3001221,505,0,3001221,,,,EBU3B.RM-1122..ZN-T,NAE 05 N2 2 VMA 132 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,RM-1122,VAV,1122,,EBU3B,
506_0_3000144,506,0,3000144,,,,EBU3B.RM-2138..ZN-T,NAE 06 N2 1 VMA132 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-2138,VAV,2138,,EBU3B,
506_0_3001839,506,0,3001839,,,,EBU3B.RM-4154..ZN-T,NAE 06 N2 2 VMA132 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-4154,VAV,4154,,EBU3B,
505_0_3001227,505,0,3001227,,,,EBU3B.RM-1122..SUP-FLOW,NAE 05 N2 2 VMA 132 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,RM-1122,VAV,1122,,EBU3B,
506_0_3000150,506,0,3000150,,,,EBU3B.RM-2138..SUP-FLOW,NAE 06 N2 1 VMA132 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-2138,VAV,2138,,EBU3B,
506_0_3001845,506,0,3001845,,,,EBU3B.RM-4154..SUP-FLOW,NAE 06 N2 2 VMA132 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-4154,VAV,4154,,EBU3B,
505_0_3001225,505,0,3001225,,,,EBU3B.RM-1122..ACTHTGSP,NAE 05 N2 2 VMA 132 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,RM-1122,VAV,1122,,EBU3B,
506_0_3000148,506,0,3000148,,,,EBU3B.RM-2138..ACTHTGSP,NAE 06 N2 1 VMA132 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-2138,VAV,2138,,EBU3B,
506_0_3001843,506,0,3001843,,,,EBU3B.RM-4154..ACTHTGSP,NAE 06 N2 2 VMA132 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-4154,VAV,4154,,EBU3B,
505_0_3001224,505,0,3001224,,,,EBU3B.RM-1122..ACTCLGSP,NAE 05 N2 2 VMA 132 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,RM-1122,VAV,1122,,EBU3B,
506_0_3000147,506,0,3000147,,,,EBU3B.RM-2138..ACTCLGSP,NAE 06 N2 1 VMA132 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-2138,VAV,2138,,EBU3B,
506_0_3001842,506,0,3001842,,,,EBU3B.RM-4154..ACTCLGSP,NAE 06 N2 2 VMA132 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-4154,VAV,4154,,EBU3B,
505_0_3001226,505,0,3001226,,,,EBU3B.RM-1122..DMPR-POS,NAE 05 N2 2 VMA 132 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,RM-1122,VAV,1122,,EBU3B,
506_0_3000149,506,0,3000149,,,,EBU3B.RM-2138..DMPR-POS,NAE 06 N2 1 VMA132 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-2138,VAV,2138,,EBU3B,
506_0_3011370,506,0,3011370,,,,EBU3B.RM-4154.DMPR-POS,NAE 06 N2 2 VMA132 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-4154,VAV,4154,,EBU3B,
505_0_3001241,505,0,3001241,,,,EBU3B.RM-1145..ZN-T,NAE 05 N2 2 VMA 133 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,RM-1145,VAV,1145,,EBU3B,
506_0_3000164,506,0,3000164,,,,EBU3B.RM-2136..ZN-T,NAE 06 N2 1 VMA133 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-2136,VAV,2136,,EBU3B,
506_0_3001861,506,0,3001861,,,,EBU3B.RM-4200A..ZN-T,NAE 06 N2 2 VMA133 ZN T,Zone Temperature \ 4th Flr Lobby,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-4200A,VAV,4200A,,EBU3B,
505_0_3001247,505,0,3001247,,,,EBU3B.RM-1145..SUP-FLOW,NAE 05 N2 2 VMA 133 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,RM-1145,VAV,1145,,EBU3B,
506_0_3000170,506,0,3000170,,,,EBU3B.RM-2136..SUP-FLOW,NAE 06 N2 1 VMA133 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-2136,VAV,2136,,EBU3B,
506_0_3001867,506,0,3001867,supply_air_flow_sensor,,room,EBU3B.RM-4200A..SUP-FLOW,NAE 06 N2 2 VMA133 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-4200A,VAV,4200A,,EBU3B,
505_0_3001245,505,0,3001245,,,,EBU3B.RM-1145..ACTHTGSP,NAE 05 N2 2 VMA 133 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,RM-1145,VAV,1145,,EBU3B,
