Unique Identifier,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,BACnet Type Str,Ground Truth Point Type,Schema Label,Location,Equipment Type,Equipment Ref,Equipment Subsystems
513_0_3006820,ap m rm 3302b sup flow,nae 13 n2 trunk 2 vav3 9 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 3302b,vav,,
513_0_3006824,ap m rm 3302b wc adj,nae 13 n2 trunk 2 vav3 9 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 3302b,vav,,
513_0_3006825,ap m rm 3302b zn t,nae 13 n2 trunk 2 vav3 9 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 3302b,vav,,
513_0_3006827,ap m rm 3311c aclg stpt,nae 13 n2 trunk 2 vav3 10 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 3311c,vav,,
513_0_3006829,ap m rm 3311c ahtg stpt,nae 13 n2 trunk 2 vav3 10 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 3311c,vav,,
513_0_3006834,ap m rm 3311c dmpr pos,nae 13 n2 trunk 2 vav3 10 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 3311c,vav,,
513_0_3006841,ap m rm 3311c sup flow,nae 13 n2 trunk 2 vav3 10 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 3311c,vav,,
513_0_3006845,ap m rm 3311c wc adj,nae 13 n2 trunk 2 vav3 10 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 3311c,vav,,
513_0_3006846,ap m rm 3311c zn t,nae 13 n2 trunk 2 vav3 10 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 3311c,vav,,
513_0_3006848,ap m rm 3302e aclg stpt,nae 13 n2 trunk 2 vav3 11 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 3302e,vav,,
513_0_3006850,ap m rm 3302e ahtg stpt,nae 13 n2 trunk 2 vav3 11 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 3302e,vav,,
513_0_3006855,ap m rm 3302e dmpr pos,nae 13 n2 trunk 2 vav3 11 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 3302e,vav,,
513_0_3006862,ap m rm 3302e sup flow,nae 13 n2 trunk 2 vav3 11 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 3302e,vav,,
513_0_3006866,ap m rm 3302e wc adj,nae 13 n2 trunk 2 vav3 11 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 3302e,vav,,
513_0_3006867,ap m rm 3302e zn t,nae 13 n2 trunk 2 vav3 11 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 3302e,vav,,
513_0_3006869,ap m rm 3321 aclg stpt,nae 13 n2 trunk 2 vav3 12 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 3321,vav,,
513_0_3006871,ap m rm 3321 ahtg stpt,nae 13 n2 trunk 2 vav3 12 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 3321,vav,,
513_0_3006876,ap m rm 3321 dmpr pos,nae 13 n2 trunk 2 vav3 12 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 3321,vav,,
513_0_3006883,ap m rm 3321 sup flow,nae 13 n2 trunk 2 vav3 12 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 3321,vav,,
513_0_3006887,ap m rm 3321 wc adj,nae 13 n2 trunk 2 vav3 12 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 3321,vav,,
513_0_3006888,ap m rm 3321 zn t,nae 13 n2 trunk 2 vav3 12 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 3321,vav,,
513_0_3006890,ap m rm 3302h aclg stpt,nae 13 n2 trunk 2 vav3 13 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 3302h,vav,,
513_0_3006892,ap m rm 3302h ahtg stpt,nae 13 n2 trunk 2 vav3 13 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 3302h,vav,,
513_0_3006897,ap m rm 3302h dmpr pos,nae 13 n2 trunk 2 vav3 13 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 3302h,vav,,
513_0_3006904,ap m rm 3302h sup flow,nae 13 n2 trunk 2 vav3 13 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 3302h,vav,,
513_0_3006911,ap m rm 3331c aclg stpt,nae 13 n2 trunk 2 vav3 14 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 3331c,vav,,
513_0_3006913,ap m rm 3331c ahtg stpt,nae 13 n2 trunk 2 vav3 14 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 3331c,vav,,
513_0_3006918,ap m rm 3331c dmpr pos,nae 13 n2 trunk 2 vav3 14 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 3331c,vav,,
513_0_3006925,ap m rm 3331c sup flow,nae 13 n2 trunk 2 vav3 14 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 3331c,vav,,
513_0_3006929,ap m rm 3331c wc adj,nae 13 n2 trunk 2 vav3 14 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 3331c,vav,,
513_0_3006930,ap m rm 3331c zn t,nae 13 n2 trunk 2 vav3 14 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 3331c,vav,,
513_0_3006932,ap m rm 3202j aclg stpt,nae 13 n2 trunk 2 vav3 15 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 3202j,vav,,
513_0_3006934,ap m rm 3202j ahtg stpt,nae 13 n2 trunk 2 vav3 15 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 3202j,vav,,
513_0_3006939,ap m rm 3202j dmpr pos,nae 13 n2 trunk 2 vav3 15 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 3202j,vav,,
513_0_3006946,ap m rm 3202j sup flow,nae 13 n2 trunk 2 vav3 15 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 3202j,vav,,
513_0_3006950,ap m rm 3202j wc adj,nae 13 n2 trunk 2 vav3 15 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 3202j,vav,,
513_0_3006951,ap m rm 3202j zn t,nae 13 n2 trunk 2 vav3 15 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 3202j,vav,,
513_0_3006953,ap m rm 3331a aclg stpt,nae 13 n2 trunk 2 vav3 16 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 3331a,vav,,
513_0_3006955,ap m rm 3331a ahtg stpt,nae 13 n2 trunk 2 vav3 16 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 3331a,vav,,
513_0_3006960,ap m rm 3331a dmpr pos,nae 13 n2 trunk 2 vav3 16 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 3331a,vav,,
513_0_3006967,ap m rm 3331a sup flow,nae 13 n2 trunk 2 vav3 16 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 3331a,vav,,
513_0_3006971,ap m rm 3331a wc adj,nae 13 n2 trunk 2 vav3 16 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 3331a,vav,,
513_0_3006972,ap m rm 3331a zn t,nae 13 n2 trunk 2 vav3 16 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 3331a,vav,,
513_0_3006974,ap m rm 3302i aclg stpt,nae 13 n2 trunk 2 vav3 17 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 3302i,vav,,
513_0_3006976,ap m rm 3302i ahtg stpt,nae 13 n2 trunk 2 vav3 17 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 3302i,vav,,
513_0_3006981,ap m rm 3302i dmpr pos,nae 13 n2 trunk 2 vav3 17 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 3302i,vav,,
513_0_3006988,ap m rm 3302i sup flow,nae 13 n2 trunk 2 vav3 17 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 3302i,vav,,
513_0_3006992,ap m rm 3302i wc adj,nae 13 n2 trunk 2 vav3 17 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 3302i,vav,,
513_0_3006993,ap m rm 3302i zn t,nae 13 n2 trunk 2 vav3 17 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 3302i,vav,,
513_0_3006995,ap m rm 3351a aclg stpt,nae 13 n2 trunk 2 vav3 18 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 3351a,vav,,
513_0_3006997,ap m rm 3351a ahtg stpt,nae 13 n2 trunk 2 vav3 18 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 3351a,vav,,
513_0_3007002,ap m rm 3351a dmpr pos,nae 13 n2 trunk 2 vav3 18 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 3351a,vav,,
513_0_3007009,ap m rm 3351a sup flow,nae 13 n2 trunk 2 vav3 18 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 3351a,vav,,
513_0_3007013,ap m rm 3351a wc adj,nae 13 n2 trunk 2 vav3 18 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 3351a,vav,,
513_0_3007014,ap m rm 3351a zn t,nae 13 n2 trunk 2 vav3 18 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 3351a,vav,,
513_0_3007016,ap m rm 3452 aclg stpt,nae 13 n2 trunk 2 vav3 19 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 3452,vav,,
513_0_3007018,ap m rm 3452 ahtg stpt,nae 13 n2 trunk 2 vav3 19 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 3452,vav,,
513_0_3007023,ap m rm 3452 dmpr pos,nae 13 n2 trunk 2 vav3 19 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 3452,vav,,
513_0_3007030,ap m rm 3452 sup flow,nae 13 n2 trunk 2 vav3 19 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 3452,vav,,
513_0_3007034,ap m rm 3452 wc adj,nae 13 n2 trunk 2 vav3 19 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 3452,vav,,
513_0_3007035,ap m rm 3452 zn t,nae 13 n2 trunk 2 vav3 19 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 3452,vav,,
513_0_3007037,ap m rm 3351c aclg stpt,nae 13 n2 trunk 2 vav3 20 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 3351c,vav,,
513_0_3007039,ap m rm 3351c ahtg stpt,nae 13 n2 trunk 2 vav3 20 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 3351c,vav,,
513_0_3007044,ap m rm 3351c dmpr pos,nae 13 n2 trunk 2 vav3 20 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 3351c,vav,,
513_0_3007051,ap m rm 3351c sup flow,nae 13 n2 trunk 2 vav3 20 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 3351c,vav,,
513_0_3007055,ap m rm 3351c wc adj,nae 13 n2 trunk 2 vav3 20 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 3351c,vav,,
513_0_3007056,ap m rm 3351c zn t,nae 13 n2 trunk 2 vav3 20 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 3351c,vav,,
513_0_3007058,ap m rm 3108 aclg stpt,nae 13 n2 trunk 2 vav3 26 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 3108,vav,,
513_0_3007060,ap m rm 3108 ahtg stpt,nae 13 n2 trunk 2 vav3 26 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 3108,vav,,
513_0_3007065,ap m rm 3108 dmpr pos,nae 13 n2 trunk 2 vav3 26 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 3108,vav,,
513_0_3007072,ap m rm 3108 sup flow,nae 13 n2 trunk 2 vav3 26 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 3108,vav,,
513_0_3007076,ap m rm 3108 wc adj,nae 13 n2 trunk 2 vav3 26 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 3108,vav,,
513_0_3007077,ap m rm 3108 zn t,nae 13 n2 trunk 2 vav3 26 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 3108,vav,,
513_0_3007079,ap m 3flw hall aclg stpt,nae 13 n2 trunk 2 vav3 27 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,3flw hall,vav,,
513_0_3007081,ap m 3flw hall ahtg stpt,nae 13 n2 trunk 2 vav3 27 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,3flw hall,vav,,
513_0_3007086,ap m 3flw hall dmpr pos,nae 13 n2 trunk 2 vav3 27 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,3flw hall,vav,,
513_0_3007093,ap m 3flw hall sup flow,nae 13 n2 trunk 2 vav3 27 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,3flw hall,vav,,
513_0_3007097,ap m 3flw hall wc adj,nae 13 n2 trunk 2 vav3 27 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,3flw hall,vav,,
513_0_3007098,ap m 3flw hall zn t,nae 13 n2 trunk 2 vav3 27 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,3flw hall,vav,,
513_0_3007100,ap m rm 4402b aclg stpt,nae 13 n2 trunk 2 vav4 1 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 4402b,vav,,
513_0_3007102,ap m rm 4402b ahtg stpt,nae 13 n2 trunk 2 vav4 1 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 4402b,vav,,
513_0_3007107,ap m rm 4402b dmpr pos,nae 13 n2 trunk 2 vav4 1 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 4402b,vav,,
513_0_3007114,ap m rm 4402b sup flow,nae 13 n2 trunk 2 vav4 1 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 4402b,vav,,
513_0_3007118,ap m rm 4402b wc adj,nae 13 n2 trunk 2 vav4 1 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 4402b,vav,,
513_0_3007119,ap m rm 4402b zn t,nae 13 n2 trunk 2 vav4 1 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 4402b,vav,,
513_0_3007121,ap m rm 4301 aclg stpt,nae 13 n2 trunk 2 vav4 2 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 4301,vav,,
513_0_3007123,ap m rm 4301 ahtg stpt,nae 13 n2 trunk 2 vav4 2 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 4301,vav,,
513_0_3007128,ap m rm 4301 dmpr pos,nae 13 n2 trunk 2 vav4 2 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 4301,vav,,
513_0_3007135,ap m rm 4301 sup flow,nae 13 n2 trunk 2 vav4 2 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 4301,vav,,
513_0_3007139,ap m rm 4301 wc adj,nae 13 n2 trunk 2 vav4 2 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 4301,vav,,
513_0_3007140,ap m rm 4301 zn t,nae 13 n2 trunk 2 vav4 2 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 4301,vav,,
513_0_3007142,ap m rm 4402 aclg stpt,nae 13 n2 trunk 2 vav4 3 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 4402,vav,,
513_0_3007144,ap m rm 4402 ahtg stpt,nae 13 n2 trunk 2 vav4 3 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 4402,vav,,
513_0_3007149,ap m rm 4402 dmpr pos,nae 13 n2 trunk 2 vav4 3 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 4402,vav,,
513_0_3007156,ap m rm 4402 sup flow,nae 13 n2 trunk 2 vav4 3 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 4402,vav,,
513_0_3007160,ap m rm 4402 wc adj,nae 13 n2 trunk 2 vav4 3 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 4402,vav,,
513_0_3007161,ap m rm 4402 zn t,nae 13 n2 trunk 2 vav4 3 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 4402,vav,,
513_0_3007163,ap m rm 4301 aclg stpt,nae 13 n2 trunk 2 vav4 4 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 4301,vav,,
513_0_3007165,ap m rm 4301 ahtg stpt,nae 13 n2 trunk 2 vav4 4 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 4301,vav,,
513_0_3007170,ap m rm 4301 dmpr pos,nae 13 n2 trunk 2 vav4 4 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 4301,vav,,
513_0_3007177,ap m rm 4301 sup flow,nae 13 n2 trunk 2 vav4 4 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 4301,vav,,
513_0_3007184,ap m rm 4402c aclg stpt,nae 13 n2 trunk 2 vav4 5 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 4402c,vav,,
513_0_3007186,ap m rm 4402c ahtg stpt,nae 13 n2 trunk 2 vav4 5 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 4402c,vav,,
513_0_3007191,ap m rm 4402c dmpr pos,nae 13 n2 trunk 2 vav4 5 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 4402c,vav,,
513_0_3007198,ap m rm 4402c sup flow,nae 13 n2 trunk 2 vav4 5 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 4402c,vav,,
513_0_3007202,ap m rm 4402c wc adj,nae 13 n2 trunk 2 vav4 5 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 4402c,vav,,
513_0_3007203,ap m rm 4402c zn t,nae 13 n2 trunk 2 vav4 5 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 4402c,vav,,
513_0_3007205,ap m rm 4301 aclg stpt,nae 13 n2 trunk 2 vav4 6 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 4301,vav,,
513_0_3007207,ap m rm 4301 ahtg stpt,nae 13 n2 trunk 2 vav4 6 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 4301,vav,,
513_0_3007212,ap m rm 4301 dmpr pos,nae 13 n2 trunk 2 vav4 6 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 4301,vav,,
513_0_3007219,ap m rm 4301 sup flow,nae 13 n2 trunk 2 vav4 6 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 4301,vav,,
513_0_3007226,ap m rm 4432b aclg stpt,nae 13 n2 trunk 2 vav4 7 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 4432b,vav,,
513_0_3007228,ap m rm 4432b ahtg stpt,nae 13 n2 trunk 2 vav4 7 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 4432b,vav,,
513_0_3007233,ap m rm 4432b dmpr pos,nae 13 n2 trunk 2 vav4 7 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 4432b,vav,,
513_0_3007240,ap m rm 4432b sup flow,nae 13 n2 trunk 2 vav4 7 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 4432b,vav,,
513_0_3007244,ap m rm 4432b wc adj,nae 13 n2 trunk 2 vav4 7 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 4432b,vav,,
513_0_3007245,ap m rm 4432b zn t,nae 13 n2 trunk 2 vav4 7 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 4432b,vav,,
513_0_3007247,ap m rm 4301 aclg stpt,nae 13 n2 trunk 2 vav4 8 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 4301,vav,,
513_0_3007249,ap m rm 4301 ahtg stpt,nae 13 n2 trunk 2 vav4 8 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 4301,vav,,
513_0_3007254,ap m rm 4301 dmpr pos,nae 13 n2 trunk 2 vav4 8 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 4301,vav,,
513_0_3007261,ap m rm 4301 sup flow,nae 13 n2 trunk 2 vav4 8 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 4301,vav,,
513_0_3007265,ap m rm 4301 wc adj,nae 13 n2 trunk 2 vav4 8 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 4301,vav,,
513_0_3007266,ap m rm 4301 zn t,nae 13 n2 trunk 2 vav4 8 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 4301,vav,,
513_0_3007268,ap m rm 4432 aclg stpt,nae 13 n2 trunk 2 vav4 9 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 4432,vav,,
513_0_3007270,ap m rm 4432 ahtg stpt,nae 13 n2 trunk 2 vav4 9 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 4432,vav,,
513_0_3007275,ap m rm 4432 dmpr pos,nae 13 n2 trunk 2 vav4 9 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 4432,vav,,
513_0_3007282,ap m rm 4432 sup flow,nae 13 n2 trunk 2 vav4 9 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 4432,vav,,
513_0_3007286,ap m rm 4432 wc adj,nae 13 n2 trunk 2 vav4 9 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 4432,vav,,
513_0_3007287,ap m rm 4432 zn t,nae 13 n2 trunk 2 vav4 9 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 4432,vav,,
513_0_3007289,ap m rm 4331 aclg stpt,nae 13 n2 trunk 2 vav4 10 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 4331,vav,,
513_0_3007291,ap m rm 4331 ahtg stpt,nae 13 n2 trunk 2 vav4 10 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 4331,vav,,
513_0_3007296,ap m rm 4331 dmpr pos,nae 13 n2 trunk 2 vav4 10 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 4331,vav,,
513_0_3007303,ap m rm 4331 sup flow,nae 13 n2 trunk 2 vav4 10 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 4331,vav,,
513_0_3007307,ap m rm 4331 wc adj,nae 13 n2 trunk 2 vav4 10 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 4331,vav,,
513_0_3007308,ap m rm 4331 zn t,nae 13 n2 trunk 2 vav4 10 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 4331,vav,,
513_0_3007310,ap m rm 4332a aclg stpt,nae 13 n2 trunk 2 vav4 11 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 4332a,vav,,
513_0_3007312,ap m rm 4332a ahtg stpt,nae 13 n2 trunk 2 vav4 11 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 4332a,vav,,
513_0_3007317,ap m rm 4332a dmpr pos,nae 13 n2 trunk 2 vav4 11 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 4332a,vav,,
513_0_3007324,ap m rm 4332a sup flow,nae 13 n2 trunk 2 vav4 11 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 4332a,vav,,
513_0_3007328,ap m rm 4332a wc adj,nae 13 n2 trunk 2 vav4 11 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 4332a,vav,,
513_0_3007329,ap m rm 4332a zn t,nae 13 n2 trunk 2 vav4 11 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 4332a,vav,,
513_0_3007331,ap m rm 4331 aclg stpt,nae 13 n2 trunk 2 vav4 12 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 4331,vav,,
513_0_3007333,ap m rm 4331 ahtg stpt,nae 13 n2 trunk 2 vav4 12 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 4331,vav,,
513_0_3007338,ap m rm 4331 dmpr pos,nae 13 n2 trunk 2 vav4 12 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 4331,vav,,
513_0_3007345,ap m rm 4331 sup flow,nae 13 n2 trunk 2 vav4 12 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 4331,vav,,
513_0_3007352,ap m rm 4452a aclg stpt,nae 13 n2 trunk 2 vav4 13 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 4452a,vav,,
513_0_3007354,ap m rm 4452a ahtg stpt,nae 13 n2 trunk 2 vav4 13 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 4452a,vav,,
513_0_3007359,ap m rm 4452a dmpr pos,nae 13 n2 trunk 2 vav4 13 dmpr pos,damper position feedback,98.0,analog input,damper position,damper position sensor,rm 4452a,vav,,
