Unique Identifier,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,BACnet Type Str,Ground Truth Point Type,Schema Label,Location,Equipment Type,Equipment Ref,Equipment Subsystems
510_0_3012976,biolib 1stfl rm 104b dmprpos,nae 10 n2 1 vma108 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 104b,vav damper
510_0_3013028,biolib 1stfl rm 104c dmprpos,nae 10 n2 1 vma111 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 104c,vav damper
510_0_3013140,biolib 1stfl rm 105 dmprpos,nae 10 n2 1 vma118 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 105,vav damper
510_0_3013124,biolib 1stfl rm 106 dmprpos,nae 10 n2 1 vma117 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 106,vav damper
510_0_3013108,biolib 1stfl rm 107 dmprpos,nae 10 n2 1 vma116 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 107,vav damper
510_0_3013076,biolib 1stfl rm 108 dmprpos,nae 10 n2 1 vma114 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 108,vav damper
510_0_3013060,biolib 1stfl rm 109 dmprpos,nae 10 n2 1 vma113 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 109,vav damper
510_0_3013044,biolib 1stfl rm 110 dmprpos,nae 10 n2 1 vma112 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 110,vav damper
510_0_3012880,biolib 1stfl rm 111 dmprpos,nae 10 n2 1 vma103 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 111,vav damper
510_0_3012960,biolib 1stfl rm 114 dmprpos,nae 10 n2 1 vma107 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 114,vav damper
510_0_3012992,biolib 1stfl rm 115 dmprpos,nae 10 n2 1 vma109 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 115,vav damper
510_0_3013320,biolib 1stfl rm 116 dmprpos,nae 10 n2 1 vma128 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 116,vav damper
510_0_3013336,biolib 1stfl rm 117 dmprpos,nae 10 n2 1 vma129 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 117,vav damper
510_0_3014391,biolib 1stfl rm 117b dmprpos,nae 10 n2 2 vma143 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 117b,vav damper
510_0_3013356,biolib 1stfl rm 118 dmprpos,nae 10 n2 1 vma130 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 118,vav damper
510_0_3014197,biolib 1stfl rm 119 dmprpos,nae 10 n2 2 vma133 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 119,vav damper
510_0_3014352,biolib 1stfl rm 121 dmprpos,nae 10 n2 2 vma141 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 121,vav damper
510_0_3014371,biolib 1stfl rm 123 dmprpos,nae 10 n2 2 vma142 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 123,vav damper
510_0_3014275,biolib 1stfl rm 125 dmprpos,nae 10 n2 2 vma137 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 125,vav damper
510_0_3014314,biolib 1stfl rm 128 dmprpos,nae 10 n2 2 vma139 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 128,vav damper
510_0_3014511,biolib 1stfl rm 131 dmprpos,nae 10 n2 2 vma150 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 131,vav damper
510_0_3014177,biolib 1stfl rm 133 dmprpos,nae 10 n2 2 vma132 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 133,vav damper
510_0_3014531,biolib 1stfl rm 134 dmprpos,nae 10 n2 2 vma151 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 134,vav damper
510_0_3014117,biolib 1stfl rm 135 dmprpos,nae 10 n2 2 vma129 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 135,vav damper
510_0_3014057,biolib 1stfl rm 137 dmprpos,nae 10 n2 2 vma126 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 137,vav damper
510_0_3014077,biolib 1stfl rm 138a dmprpos,nae 10 n2 2 vma127 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 138a,vav damper
510_0_3014097,biolib 1stfl rm 138b dmprpos,nae 10 n2 2 vma128 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 138b,vav damper
510_0_3014157,biolib 1stfl rm 138c dmprpos,nae 10 n2 2 vma131 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 138c,vav damper
510_0_3014137,biolib 1stfl rm 138d dmprpos,nae 10 n2 2 vma130 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 138d,vav damper
510_0_3014334,biolib 1stfl rm 138e dmprpos,nae 10 n2 2 vma140 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 138e,vav damper
510_0_3014294,biolib 1stfl rm 138f dmprpos,nae 10 n2 2 vma138 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 138f,vav damper
510_0_3014257,biolib 1stfl rm 138g dmprpos,nae 10 n2 2 vma136 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 138g,vav damper
510_0_3014217,biolib 1stfl rm 138j dmprpos,nae 10 n2 2 vma134 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 138j,vav damper
510_0_3014647,biolib 1stfl rm 139 dmprpos,nae 10 n2 2 vma157 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 139,vav damper
510_0_3014667,biolib 1stfl rm 140 dmprpos,nae 10 n2 2 vma158 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 140,vav damper
510_0_3013228,biolib 1stfl rm 141 dmprpos,nae 10 n2 1 vma123 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 141,vav damper
510_0_3014411,biolib 1stfl rm 141a dmprpos,nae 10 n2 2 vma144 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 141a,vav damper
510_0_3014451,biolib 1stfl rm 141c dmprpos,nae 10 n2 2 vma147 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 141c,vav damper
510_0_3014431,biolib 1stfl rm 141d dmprpos,nae 10 n2 2 vma146 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 141d,vav damper
510_0_3014471,biolib 1stfl rm 141e dmprpos,nae 10 n2 2 vma148 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 141e,vav damper
510_0_3014491,biolib 1stfl rm 141f dmprpos,nae 10 n2 2 vma149 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 141f,vav damper
510_0_3014551,biolib 1stfl rm 142a dmprpos,nae 10 n2 2 vma152 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 142a,vav damper
510_0_3014571,biolib 1stfl rm 142b dmprpos,nae 10 n2 2 vma153 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 142b,vav damper
510_0_3014611,biolib 1stfl rm 142c dmprpos,nae 10 n2 2 vma155 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 142c,vav damper
510_0_3013373,biolib 1stfl rm 72 2n dmprpos,nae 10 n2 1 vma131 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 72 2n,vav damper
510_0_3013391,biolib 1stfl rm 73 26 dmprpos,nae 10 n2 1 vma132 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 73 26,vav damper
510_0_3013248,biolib 2ndfl rm 200e dmprpos,nae 10 n2 1 vma124 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 200e,vav damper
510_0_3012840,biolib 2ndfl rm 201 dmprpos,nae 10 n2 1 vma101 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 201,vav damper
510_0_3012860,biolib 2ndfl rm 203 dmprpos,nae 10 n2 1 vma102 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 203,vav damper
510_0_3012900,biolib 2ndfl rm 204 dmprpos,nae 10 n2 1 vma104 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 204,vav damper
510_0_3012920,biolib 2ndfl rm 205 dmprpos,nae 10 n2 1 vma105 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 205,vav damper
510_0_3012940,biolib 2ndfl rm 206 dmprpos,nae 10 n2 1 vma106 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 206,vav damper
510_0_3013008,biolib 2ndfl rm 207 dmprpos,nae 10 n2 1 vma110 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 207,vav damper
510_0_3013578,biolib 2ndfl rm 208 dmprpos,nae 10 n2 2 vma101 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 208,vav damper
510_0_3013712,biolib 2ndfl rm 210 dmprpos,nae 10 n2 2 vma108 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 210,vav damper
510_0_3013597,biolib 2ndfl rm 212 dmprpos,nae 10 n2 2 vma102 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 212,vav damper
510_0_3013615,biolib 2ndfl rm 214 dmprpos,nae 10 n2 2 vma103 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 214,vav damper
510_0_3013693,biolib 2ndfl rm 216 dmprpos,nae 10 n2 2 vma107 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 216,vav damper
510_0_3013732,biolib 2ndfl rm 217 dmprpos,nae 10 n2 2 vma109 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 217,vav damper
510_0_3013675,biolib 2ndfl rm 218 dmprpos,nae 10 n2 2 vma106 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 218,vav damper
510_0_3013772,biolib 2ndfl rm 220 dmprpos,nae 10 n2 2 vma111 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 220,vav damper
510_0_3013985,biolib 2ndfl rm 221a dmprpos,nae 10 n2 2 vma122 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 221a,vav damper
510_0_3014005,biolib 2ndfl rm 221b dmprpos,nae 10 n2 2 vma123 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 221b,vav damper
510_0_3013752,biolib 2ndfl rm 221c dmprpos,nae 10 n2 2 vma110 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 221c,vav damper
510_0_3013655,biolib 2ndfl rm 223 dmprpos,nae 10 n2 2 vma105 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 223,vav damper
510_0_3013635,biolib 2ndfl rm 224 dmprpos,nae 10 n2 2 vma104 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 224,vav damper
510_0_3013791,biolib 2ndfl rm 225 dmprpos,nae 10 n2 2 vma112 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 225,vav damper
510_0_3013831,biolib 2ndfl rm 226 dmprpos,nae 10 n2 2 vma114 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 226,vav damper
510_0_3013851,biolib 2ndfl rm 227 dmprpos,nae 10 n2 2 vma115 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 227,vav damper
510_0_3013892,biolib 2ndfl rm 228 dmprpos,nae 10 n2 2 vma117 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 228,vav damper
510_0_3013912,biolib 2ndfl rm 229 dmprpos,nae 10 n2 2 vma118 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 229,vav damper
510_0_3013933,biolib 2ndfl rm 230 dmprpos,nae 10 n2 2 vma119 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 230,vav damper
510_0_3013811,biolib 2ndfl rm 231a dmprpos,nae 10 n2 2 vma113 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 231a,vav damper
510_0_3013872,biolib 2ndfl rm 231b dmprpos,nae 10 n2 2 vma116 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 231b,vav damper
510_0_3014591,biolib 2ndfl rm 232a dmprpos,nae 10 n2 2 vma154 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 232a,vav damper
510_0_3014631,biolib 2ndfl rm 232b dmprpos,nae 10 n2 2 vma156 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 232b,vav damper
510_0_3013953,biolib 2ndfl rm 232c dmprpos,nae 10 n2 2 vma120 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 232c,vav damper
510_0_3013969,biolib 2ndfl rm 232d dmprpos,nae 10 n2 2 vma121 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 232d,vav damper
510_0_3014041,biolib 2ndfl rm 233a dmprpos,nae 10 n2 2 vma125 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 233a,vav damper
510_0_3014025,biolib 2ndfl rm 233b dmprpos,nae 10 n2 2 vma124124 dmprpos,actual damper position,98.0,analog input,damper position,damper position sensor,,vav,rm 233b,vav damper
510_1_3008965,biolib ac 13 dehum db,nae 10 n2 1 ahu002 dhudb,dehum dead band,29.0,analog output,dehumidification dead band,dehumidification dead band setpoint,,ahu,ac 13,ahu demhumidifier
510_1_3008964,biolib ac 13 dehum it,nae 10 n2 1 ahu002 dhuit,,95.0,analog output,dehumidification integral time,dehumidification integral time setpoint,,ahu,ac 13,ahu demhumidifier
510_1_3008963,biolib ac 13 dehum prop band,nae 10 n2 1 ahu002 dehpb,,29.0,analog output,dehumidification prop band,dehumidification proportional band setpoint,,ahu,ac 13,ahu demhumidifier
510_1_3008962,biolib ac 13 dehum setpoint,nae 10 n2 1 ahu002 dehsetpt,dehumidification setpoint,29.0,analog output,dehumidification setpoint,dehumidification setpoint,,ahu,ac 13,ahu demhumidifier
510_0_3006247,biolib ac 15 rf vfd mtr tmp,nae 10 n2 2 vnd003 mtr tmp,motor temp,64.0,analog input,drive temperature,temperature sensor,,vfd,ac 15,ahu return fan vfd
510_0_3006224,biolib ac 15 sf vfd mtr tmp,nae 10 n2 2 vnd002 mtr tmp,motor temp,64.0,analog input,drive temperature,temperature sensor,,vfd,ac 15,ahu supply fan vfd
510_1_3006176,biolib ac 15 econ dpr,nae 10 n2 2 dx001 econ dpr,,98.0,analog output,economizer damper command,economizer damper command,,economizer,ac 15,ahu economizer damper
510_3_3006200,biolib ac 15 econ mod,nae 10 n2 2 dx001 econ mod,,,binary input,economizer mode status,economizer mode status,,economizer,ac 15,ahu economizer
510_4_3006190,biolib ac 15 econ ovd,nae 10 n2 2 dx001 econ ovd,,,binary output,economizer override,override command,,economizer,ac 15,ahu economizer
510_1_3005273,biolib ac 12 econ pb,nae 10 n2 1 ahu001 econ pb,disch econ pband,64.0,analog output,economizer prop band,proportional band setpoint,,economizer,ac 12,ahu economizer
510_1_3005323,biolib ac 13 econ prop band,nae 10 n2 1 ahu002 econ pb,disch econ pband,64.0,analog output,economizer prop band,proportional band setpoint,,economizer,ac 13,ahu economizer
510_3_3005342,biolib ac 13 econ sts,nae 10 n2 1 ahu002 econ s,econimizer status,,binary input,economizer status,economizer status,,economizer,ac 13,ahu economizer
510_1_3005325,biolib ac 13 econ diff switchovr,nae 10 n2 1 ahu002 econdif,temp diff setpnt oat less than rat,64.0,analog output,economizer temperature difference switchover,temperature differential reset setpoint,,economizer,ac 13,ahu economizer
510_1_3006211,biolib ac 15 econ setpoint,nae 10 n2 2 dx001 econ setpoint,,64.0,analog output,economizer temperature setpoint,economizer temperature setpoint,,economizer,ac 15,ahu economizer
510_0_3006244,biolib ac 15 rf vfd kwh,nae 10 n2 2 vnd003 kwh,kilowatt hours,19.0,analog input,energy in kwh,energy meter,,vfd,ac 15,ahu return fan vfd
510_0_3006221,biolib ac 15 sf vfd kwh,nae 10 n2 2 vnd002 kwh,kilowatt hours,19.0,analog input,energy in kwh,energy meter,,vfd,ac 15,ahu supply fan vfd
510_4_3013599,biolib 2ndfl rm 212 ef3 ss,nae 10 n2 2 vma102 ef3 ss,exhaust fan start stop,,binary output,exhaust fan start stop,start stop command,,vav,rm 212,
510_4_3013774,biolib 2ndfl rm 220 ef2 ss,nae 10 n2 2 vma111 ef2 ss,exhaust fan 2 start stop,,binary output,exhaust fan start stop,exhaust fan start stop command,,vav,rm 220,
510_3_3013600,biolib 2ndfl rm 212 ef3 sts,nae 10 n2 2 vma102 ef3 sts,exh fan 3 status rest rooms,,binary input,exhaust fan status,exhaust fan status,,vav,rm 212,
510_3_3013775,biolib 2ndfl rm 220 ef2 sts,nae 10 n2 2 vma111 ef2 sts,exh fan 2 status rest rooms,,binary input,exhaust fan status,exhaust fan status,,vav,rm 220,
510_4_3006260,biolib ac 15 rf vfd fult res,nae 10 n2 2 vnd003 fult res,fault reset,,binary output,fault reset,fault reset command,,vfd,ac 15,ahu return fan vfd
510_4_3006237,biolib ac 15 sf vfd fult res,nae 10 n2 2 vnd002 fult res,fault reset,,binary output,fault reset,fault reset command,,vfd,ac 15,ahu supply fan vfd
510_3_3006250,biolib ac 15 rf vfd fult sts,nae 10 n2 2 vnd003 fult sts,fault status,,binary input,fault status,fault status,,vfd,ac 15,ahu return fan vfd
510_3_3006227,biolib ac 15 sf vfd fult sts,nae 10 n2 2 vnd002 fult sts,fault status,,binary input,fault status,fault status,,vfd,ac 15,ahu supply fan vfd
510_0_3005228,biolib ac 13 rf vfd feedback,nae 10 n2 1 vnd005 feedback,feedback,95.0,analog input,feedback,unknown,,vfd,ac 13,ahu return fan vfd
510_0_3005202,biolib hw pumps p1 vfd feedback,nae 10 n2 1 vnd004 feedback,feedback,95.0,analog input,feedback,unknown,,vfd,p1,hw sys pump vfd
510_0_3005215,biolib hw pumps p2 vfd feedback,nae 10 n2 1 vnd006 feedback,feedback,95.0,analog input,feedback,unknown,,vfd,p2,hw sys pump vfd
510_3_3005250,biolib ac 12 fltr sts,nae 10 n2 1 ahu001 fltr sts,fltr sts,,binary input,filter status,filter status,,ahu,ac 12,ahu filter
510_3_3005302,biolib ac 13 fltr sts,nae 10 n2 1 ahu002 fltr sts,fltr sts,,binary input,filter status,filter status,,ahu,ac 13,ahu filter
510_3_3006167,biolib ac 15 fltr sts,nae 10 n2 2 dx001 fltr sts,,,binary input,filter status,filter status,,ahu,ac 15,ahu filter
510_2_3008194,1rst floor avg clg cmd,nae 10 programming ah 15 1rst floor avg clg cmd,,302.0,analog value,floor average cooling command,average cooling command,,hvac,,
510_2_3008736,1rst floor avg clg cmd,nae 10 programming ah 13 reset 1rst floor avg clg cmd,,302.0,analog value,floor average cooling command,average cooling command,,hvac,,
510_2_3008196,2nd floor avg clg cmd,nae 10 programming ah 15 2nd floor avg clg cmd,,302.0,analog value,floor average cooling command,average cooling command,,hvac,,
510_2_3008737,2nd floor avg clg cmd,nae 10 programming ah 13 reset 2nd floor avg clg cmd,,302.0,analog value,floor average cooling command,average cooling command,,hvac,,
510_3_3006249,biolib ac 15 rf vfd fwd rev,nae 10 n2 2 vnd003 fwd rev,fwd rev,,binary input,forward reverse status,direction status,,vfd,ac 15,ahu return fan vfd
510_3_3006226,biolib ac 15 sf vfd fwd rev,nae 10 n2 2 vnd002 fwd rev,fwd rev,,binary input,forward reverse status,direction status,,vfd,ac 15,ahu supply fan vfd
510_0_3005229,biolib ac 13 rf vfd freq,nae 10 n2 1 vnd005 freq,frequency hz,27.0,analog input,frequency,frequency sensor,,vfd,ac 13,ahu return fan vfd
510_0_3006239,biolib ac 15 rf vfd frequenc,nae 10 n2 2 vnd003 frequenc,actual frequency,27.0,analog input,frequency,frequency sensor,,vfd,ac 15,ahu return fan vfd
510_0_3006216,biolib ac 15 sf vfd frequenc,nae 10 n2 2 vnd002 frequenc,actual frequency,27.0,analog input,frequency,frequency sensor,,vfd,ac 15,ahu supply fan vfd
510_0_3005203,biolib hw pumps p1 vfd freq,nae 10 n2 1 vnd004 freq,frequency hz,27.0,analog input,frequency,frequency sensor,,vfd,p1,hw sys pump vfd
510_0_3005216,biolib hw pumps p2 vfd freq,nae 10 n2 1 vnd006 freq,frequency hz,27.0,analog input,frequency,frequency sensor,,vfd,p2,hw sys pump vfd
510_3_3012844,fsds rm 205 and rm 206 group study,nae 10 n2 1 vma101 fsd3 sts,wired to rm 201bi 3,,binary input,fsd status,smoke damper status,,fire smoke damper,,
510_3_3005234,biolib ac 13 rf vfd handauto,nae 10 n2 1 vnd005 handauto,hand auto,,binary input,hand auto,hand auto status,,ahu,ac 13,ahu return fan vfd
510_3_3006252,biolib ac 15 rf vfd handauto,nae 10 n2 2 vnd003 handauto,hand auto,,binary input,hand auto,hand auto status,,ahu,ac 15,ahu return fan vfd
510_3_3006229,biolib ac 15 sf vfd handauto,nae 10 n2 2 vnd002 handauto,hand auto,,binary input,hand auto,hand auto status,,ahu,ac 15,ahu supply fan vfd
510_3_3005208,biolib hw pumps p1 vfd handauto,nae 10 n2 1 vnd004 handauto,hand auto,,binary input,hand auto,hand auto status,,hw sys,p1,hw sys pump vfd
510_3_3005221,biolib hw pumps p2 vfd handauto,nae 10 n2 1 vnd006 handauto,hand auto,,binary input,hand auto,hand auto status,,hw sys,p2,hw sys pump vfd
510_1_3014243,1biolib 1stfl rm 38h htg o,nae 10 n2 2 vma135 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 38h,
510_1_3013306,biolib 1stfl rm 100 htg o,nae 10 n2 1 vma127 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 100,
510_1_3013158,biolib 1stfl rm 100n htg o,nae 10 n2 1 vma119 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 100n,
510_1_3013290,biolib 1stfl rm 100s htg o,nae 10 n2 1 vma126 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 100s,
510_1_3013198,biolib 1stfl rm 101n htg o,nae 10 n2 1 vma121 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 101n,
510_1_3013214,biolib 1stfl rm 101s htg o,nae 10 n2 1 vma122 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 101s,
510_1_3013274,biolib 1stfl rm 102 htg o,nae 10 n2 1 vma125 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 102,
510_1_3013178,biolib 1stfl rm 103 htg o,nae 10 n2 1 vma120 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 103,
510_1_3013094,biolib 1stfl rm 104a htg o,nae 10 n2 1 vma115 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 104a,
510_1_3012978,biolib 1stfl rm 104b htg o,nae 10 n2 1 vma108 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 104b,
510_1_3013030,biolib 1stfl rm 104c htg o,nae 10 n2 1 vma111 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 104c,
510_1_3013142,biolib 1stfl rm 105 htg o,nae 10 n2 1 vma118 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 105,
510_1_3013126,biolib 1stfl rm 106 htg o,nae 10 n2 1 vma117 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 106,
510_1_3013110,biolib 1stfl rm 107 htg o,nae 10 n2 1 vma116 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 107,
510_1_3013078,biolib 1stfl rm 108 htg o,nae 10 n2 1 vma114 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 108,
510_1_3013062,biolib 1stfl rm 109 htg o,nae 10 n2 1 vma113 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 109,
510_1_3013046,biolib 1stfl rm 110 htg o,nae 10 n2 1 vma112 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 110,
510_1_3012886,biolib 1stfl rm 111 htg o,nae 10 n2 1 vma103 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 111,
510_1_3012962,biolib 1stfl rm 114 htg o,nae 10 n2 1 vma107 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 114,
510_1_3012994,biolib 1stfl rm 115 htg o,nae 10 n2 1 vma109 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 115,
510_1_3013322,biolib 1stfl rm 116 htg o,nae 10 n2 1 vma128 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 116,
510_1_3013342,biolib 1stfl rm 117 htg o,nae 10 n2 1 vma129 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 117,
510_1_3014397,biolib 1stfl rm 117b htg o,nae 10 n2 2 vma143 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 117b,
510_1_3013358,biolib 1stfl rm 118 htg o,nae 10 n2 1 vma130 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 118,
510_1_3014203,biolib 1stfl rm 119 htg o,nae 10 n2 2 vma133 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 119,
510_1_3014377,biolib 1stfl rm 123 htg o,nae 10 n2 2 vma142 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 123,
510_1_3014320,biolib 1stfl rm 128 htg o,nae 10 n2 2 vma139 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 128,
510_1_3014517,biolib 1stfl rm 131 htg o,nae 10 n2 2 vma150 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 131,
510_1_3014183,biolib 1stfl rm 133 htg o,nae 10 n2 2 vma132 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 133,
510_1_3014537,biolib 1stfl rm 134 htg o,nae 10 n2 2 vma151 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 134,
510_1_3014123,biolib 1stfl rm 135 htg o,nae 10 n2 2 vma129 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 135,
510_1_3014063,biolib 1stfl rm 137 htg o,nae 10 n2 2 vma126 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 137,
510_1_3014083,biolib 1stfl rm 138a htg o,nae 10 n2 2 vma127 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 138a,
510_1_3014103,biolib 1stfl rm 138b htg o,nae 10 n2 2 vma128 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 138b,
510_1_3014163,biolib 1stfl rm 138c htg o,nae 10 n2 2 vma131 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 138c,
510_1_3014143,biolib 1stfl rm 138d htg o,nae 10 n2 2 vma130 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 138d,
510_1_3014340,biolib 1stfl rm 138e htg o,nae 10 n2 2 vma140 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 138e,
510_1_3014300,biolib 1stfl rm 138f htg o,nae 10 n2 2 vma138 htg o,heating command,98.0,analog output,heating command,heating command,,vav,rm 138f,
