Unique Identifier,BACnet Device ID,BACnet Object Type,BACnet Object ID,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,Ground Truth Point Type,Schema Label,Point Ref,Location,Equipment Type,Equipment Ref,Equipment Subsystems,Building,Comments,BACnet Type Str
505_0_3001672,505,0,3001672,ebu3b rm 1200a sup flow,nae 05 n2 2 vma 105 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 1200a,vav,1200a,,ebu3b,,analog input
506_0_3001260,506,0,3001260,ebu3b rm 2240 sup flow,nae 06 n2 1 vma105 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 2240,vav,2240,,ebu3b,,analog input
506_0_3002942,506,0,3002942,ebu3b rm 3136 sup flow,nae 06 n2 2 vma105 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 3136,vav,3136,,ebu3b,,analog input
505_0_3000950,505,0,3000950,ebu3b rm b240a sup flow,nae 05 n2 1 vma 105 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm b240a,vav,b240a,,ebu3b,,analog input
505_1_3001673,505,1,3001673,ebu3b rm 1200a rh vlv,nae 05 n2 2 vma 105 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 1200a,vav,1200a,,ebu3b,,analog output
506_1_3001261,506,1,3001261,ebu3b rm 2240 rh vlv,nae 06 n2 1 vma105 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 2240,vav,2240,,ebu3b,,analog output
506_1_3002943,506,1,3002943,ebu3b rm 3136 rh vlv,nae 06 n2 2 vma105 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 3136,vav,3136,,ebu3b,,analog output
505_1_3000951,505,1,3000951,ebu3b rm b240a rh vlv,nae 05 n2 1 vma 105 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm b240a,vav,b240a,,ebu3b,,analog output
505_1_3001679,505,1,3001679,ebu3b rm 1200a htgflow,nae 05 n2 2 vma 105 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 1200a,vav,1200a,,ebu3b,,analog output
506_1_3001267,506,1,3001267,ebu3b rm 2240 htgflow,nae 06 n2 1 vma105 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 2240,vav,2240,,ebu3b,,analog output
506_1_3002949,506,1,3002949,ebu3b rm 3136 htgflow,nae 06 n2 2 vma105 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 3136,vav,3136,,ebu3b,,analog output
505_1_3000957,505,1,3000957,ebu3b rm b240a htgflow,nae 05 n2 1 vma 105 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm b240a,vav,b240a,,ebu3b,,analog output
505_0_3001670,505,0,3001670,ebu3b rm 1200a acthtgsp,nae 05 n2 2 vma 105 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 1200a,vav,1200a,,ebu3b,,analog input
506_0_3001258,506,0,3001258,ebu3b rm 2240 acthtgsp,nae 06 n2 1 vma105 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 2240,vav,2240,,ebu3b,,analog input
506_0_3002940,506,0,3002940,ebu3b rm 3136 acthtgsp,nae 06 n2 2 vma105 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 3136,vav,3136,,ebu3b,,analog input
505_0_3000948,505,0,3000948,ebu3b rm b240a acthtgsp,nae 05 n2 1 vma 105 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm b240a,vav,b240a,,ebu3b,,analog input
505_0_3001669,505,0,3001669,ebu3b rm 1200a actclgsp,nae 05 n2 2 vma 105 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 1200a,vav,1200a,,ebu3b,,analog input
506_0_3001257,506,0,3001257,ebu3b rm 2240 actclgsp,nae 06 n2 1 vma105 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 2240,vav,2240,,ebu3b,,analog input
506_0_3002939,506,0,3002939,ebu3b rm 3136 actclgsp,nae 06 n2 2 vma105 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 3136,vav,3136,,ebu3b,,analog input
505_0_3000947,505,0,3000947,ebu3b rm b240a actclgsp,nae 05 n2 1 vma 105 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm b240a,vav,b240a,,ebu3b,,analog input
505_1_3001678,505,1,3001678,ebu3b rm 1200a clgminflo,nae 05 n2 2 vma 105 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 1200a,vav,1200a,,ebu3b,,analog output
506_1_3001266,506,1,3001266,ebu3b rm 2240 clgminflo,nae 06 n2 1 vma105 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 2240,vav,2240,,ebu3b,,analog output
506_1_3002948,506,1,3002948,ebu3b rm 3136 clgminflo,nae 06 n2 2 vma105 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 3136,vav,3136,,ebu3b,,analog output
505_1_3000956,505,1,3000956,ebu3b rm b240a clgminflo,nae 05 n2 1 vma 105 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm b240a,vav,b240a,,ebu3b,,analog output
505_14_3001685,505,14,3001685,ebu3b rm 1200a occ cmd,nae 05 n2 2 vma 105 occ cmd,occupied command,,occupancy command,occupied command,,rm 1200a,vav,1200a,,ebu3b,,multi state output
506_14_3001272,506,14,3001272,ebu3b rm 2240 occ cmd,nae 06 n2 1 vma105 occ cmd,occupied command,,occupancy command,occupied command,,rm 2240,vav,2240,,ebu3b,,multi state output
506_14_3002954,506,14,3002954,ebu3b rm 3136 occ cmd,nae 06 n2 2 vma105 occ cmd,occupied command,,occupancy command,occupied command,,rm 3136,vav,3136,,ebu3b,,multi state output
505_14_3000962,505,14,3000962,ebu3b rm b240a occ cmd,nae 05 n2 1 vma 105 occ cmd,occupied command,,occupancy command,occupied command,,rm b240a,vav,b240a,,ebu3b,,multi state output
505_1_3001681,505,1,3001681,ebu3b rm 1200a htgpid o,nae 05 n2 2 vma 105 htgpid o,heating command,98.0,heating command,heating command,,rm 1200a,vav,1200a,,ebu3b,,analog output
506_1_3001269,506,1,3001269,ebu3b rm 2240 htgpid o,nae 06 n2 1 vma105 htgpid o,heating command,98.0,heating command,heating command,,rm 2240,vav,2240,,ebu3b,,analog output
506_1_3002951,506,1,3002951,ebu3b rm 3136 htgpid o,nae 06 n2 2 vma105 htgpid o,heating command,98.0,heating command,heating command,,rm 3136,vav,3136,,ebu3b,,analog output
505_1_3000959,505,1,3000959,ebu3b rm b240a htgpid o,nae 05 n2 1 vma 105 htgpid o,heating command,98.0,heating command,heating command,,rm b240a,vav,b240a,,ebu3b,,analog output
505_0_3001671,505,0,3001671,ebu3b rm 1200a dmpr pos,nae 05 n2 2 vma 105 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm 1200a,vav,1200a,,ebu3b,,analog input
506_0_3001259,506,0,3001259,ebu3b rm 2240 dmpr pos,nae 06 n2 1 vma105 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm 2240,vav,2240,,ebu3b,,analog input
505_1_3015310,505,1,3015310,ebu3b crac 1 tempsetf,nae 05 n2 2 vnd 162 tempsetf,temp setpoint,64.0,temperature setpoint,temperature setpoint,,server room,computer room air conditioning,1,,ebu3b,,analog output
505_1_3015374,505,1,3015374,ebu3b crac 2 tempsetf,nae 05 n2 2 vnd 163 tempsetf,temp setpoint,64.0,temperature setpoint,temperature setpoint,,server room,computer room air conditioning,2,,ebu3b,,analog output
505_1_3015246,505,1,3015246,ebu3b crac 3 tempsetf,nae 05 n2 2 vnd 161 tempsetf,temp setpoint,64.0,temperature setpoint,temperature setpoint,,server room,computer room air conditioning,3,,ebu3b,,analog output
505_1_3015182,505,1,3015182,ebu3b crac 4 tempsetf,nae 05 n2 2 vnd 160 tempsetf,temp setpoint,64.0,temperature setpoint,temperature setpoint,,server room,computer room air conditioning,4,,ebu3b,,analog output
505_0_3015262,505,0,3015262,ebu3b crac 1 temp tol,nae 05 n2 2 vnd 162 temp tol,temperature tolerance,64.0,temperature tolerance,temperature tolerance setpoint,,server room,computer room air conditioning,1,,ebu3b,,analog input
505_0_3015326,505,0,3015326,ebu3b crac 2 temp tol,nae 05 n2 2 vnd 163 temp tol,temperature tolerance,64.0,temperature tolerance,temperature tolerance setpoint,,server room,computer room air conditioning,2,,ebu3b,,analog input
505_0_3015198,505,0,3015198,ebu3b crac 3 temp tol,nae 05 n2 2 vnd 161 temp tol,temperature tolerance,64.0,temperature tolerance,temperature tolerance setpoint,,server room,computer room air conditioning,3,,ebu3b,,analog input
505_0_3015134,505,0,3015134,ebu3b crac 4 temp tol,nae 05 n2 2 vnd 160 temp tol,temperature tolerance,64.0,temperature tolerance,temperature tolerance setpoint,,server room,computer room air conditioning,4,,ebu3b,,analog input
506_0_3002941,506,0,3002941,ebu3b rm 3136 dmpr pos,nae 06 n2 2 vma105 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm 3136,vav,3136,,ebu3b,,analog input
505_0_3000949,505,0,3000949,ebu3b rm b240a dmpr pos,nae 05 n2 1 vma 105 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm b240a,vav,b240a,,ebu3b,,analog input
505_1_3001675,505,1,3001675,ebu3b rm 1200a dpr c,nae 05 n2 2 vma 105 dpr c,damper command,98.0,damper command,damper command,,rm 1200a,vav,1200a,,ebu3b,,analog output
506_1_3001263,506,1,3001263,ebu3b rm 2240 dpr c,nae 06 n2 1 vma105 dpr c,damper command,98.0,damper command,damper command,,rm 2240,vav,2240,,ebu3b,,analog output
506_1_3002945,506,1,3002945,ebu3b rm 3136 dpr c,nae 06 n2 2 vma105 dpr c,damper command,98.0,damper command,damper command,,rm 3136,vav,3136,,ebu3b,,analog output
505_1_3000953,505,1,3000953,ebu3b rm b240a dpr c,nae 05 n2 1 vma 105 dpr c,damper command,98.0,damper command,damper command,,rm b240a,vav,b240a,,ebu3b,,analog output
505_1_3001677,505,1,3001677,ebu3b rm 1200a clgmaxflo,nae 05 n2 2 vma 105 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm 1200a,vav,1200a,,ebu3b,,analog output
506_1_3001265,506,1,3001265,ebu3b rm 2240 clgmaxflo,nae 06 n2 1 vma105 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm 2240,vav,2240,,ebu3b,,analog output
506_1_3002947,506,1,3002947,ebu3b rm 3136 clgmaxflo,nae 06 n2 2 vma105 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm 3136,vav,3136,,ebu3b,,analog output
505_1_3000955,505,1,3000955,ebu3b rm b240a clgmaxflo,nae 05 n2 1 vma 105 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm b240a,vav,b240a,,ebu3b,,analog output
505_1_3001680,505,1,3001680,ebu3b rm 1200a clgpid o,nae 05 n2 2 vma 105 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 1200a,vav,1200a,,ebu3b,,analog output
506_1_3001268,506,1,3001268,ebu3b rm 2240 clgpid o,nae 06 n2 1 vma105 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 2240,vav,2240,,ebu3b,,analog output
506_1_3002950,506,1,3002950,ebu3b rm 3136 clgpid o,nae 06 n2 2 vma105 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 3136,vav,3136,,ebu3b,,analog output
505_1_3000958,505,1,3000958,ebu3b rm b240a clgpid o,nae 05 n2 1 vma 105 clgpid o,cooling command,98.0,cooling command,cooling command,,rm b240a,vav,b240a,,ebu3b,,analog output
505_0_3001687,505,0,3001687,ebu3b rm 1200c zn t,nae 05 n2 2 vma 106 zn t,zone temperature corridor west,64.0,zone temperature,zone temperature sensor,,rm 1200c,vav,1200c,,ebu3b,,analog input
506_0_3001274,506,0,3001274,ebu3b rm 2207 zn t,nae 06 n2 1 vma106 zn t,zone temperature telecom rm,64.0,zone temperature,zone temperature sensor,,rm 2207,vav,2207,,ebu3b,,analog input
506_0_3002956,506,0,3002956,ebu3b rm 3134 zn t,nae 06 n2 2 vma106 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm 3134,vav,3134,,ebu3b,,analog input
505_0_3000964,505,0,3000964,ebu3b rm b250a zn t,nae 05 n2 1 vma 106 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm b250a,vav,b250a,,ebu3b,,analog input
505_1_3001695,505,1,3001695,ebu3b rm 1200c commonsp,nae 05 n2 2 vma 106 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 1200c,vav,1200c,,ebu3b,,analog output
506_1_3001280,506,1,3001280,ebu3b rm 2207 commonsp,nae 06 n2 1 vma106 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 2207,vav,2207,,ebu3b,,analog output
506_1_3002964,506,1,3002964,ebu3b rm 3134 commonsp,nae 06 n2 2 vma106 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 3134,vav,3134,,ebu3b,,analog output
505_1_3000972,505,1,3000972,ebu3b rm b250a commonsp,nae 05 n2 1 vma 106 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm b250a,vav,b250a,,ebu3b,,analog output
505_1_3026013,505,1,3026013,ebu3b rm 1200c w c adj,nae 05 n2 2 vma 106 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 1200c,vav,1200c,,ebu3b,,analog output
506_1_3015670,506,1,3015670,ebu3b rm 2207 w c adj,nae 06 n2 1 vma106 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 2207,vav,2207,,ebu3b,,analog output
506_1_3015719,506,1,3015719,ebu3b rm 3134 w c adj,nae 06 n2 2 vma106 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 3134,vav,3134,,ebu3b,,analog output
505_1_3025986,505,1,3025986,ebu3b rm b250a w c adj,nae 05 n2 1 vma 106 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm b250a,vav,b250a,,ebu3b,,analog output
505_1_3001697,505,1,3001697,ebu3b rm 1200c supflo sp,nae 05 n2 2 vma 106 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 1200c,vav,1200c,,ebu3b,,analog output
506_1_3001282,506,1,3001282,ebu3b rm 2207 supflo sp,nae 06 n2 1 vma106 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 2207,vav,2207,,ebu3b,,analog output
506_1_3002966,506,1,3002966,ebu3b rm 3134 supflo sp,nae 06 n2 2 vma106 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 3134,vav,3134,,ebu3b,,analog output
505_1_3000974,505,1,3000974,ebu3b rm b250a supflo sp,nae 05 n2 1 vma 106 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm b250a,vav,b250a,,ebu3b,,analog output
505_0_3001693,505,0,3001693,ebu3b rm 1200c sup flow,nae 05 n2 2 vma 106 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 1200c,vav,1200c,,ebu3b,,analog input
506_0_3001279,506,0,3001279,ebu3b rm 2207 sup flow,nae 06 n2 1 vma106 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 2207,vav,2207,,ebu3b,,analog input
506_0_3002962,506,0,3002962,ebu3b rm 3134 sup flow,nae 06 n2 2 vma106 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 3134,vav,3134,,ebu3b,,analog input
505_0_3000970,505,0,3000970,ebu3b rm b250a sup flow,nae 05 n2 1 vma 106 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm b250a,vav,b250a,,ebu3b,,analog input
505_1_3001694,505,1,3001694,ebu3b rm 1200c rh vlv,nae 05 n2 2 vma 106 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 1200c,vav,1200c,,ebu3b,,analog output
506_1_3002963,506,1,3002963,ebu3b rm 3134 rh vlv,nae 06 n2 2 vma106 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 3134,vav,3134,,ebu3b,,analog output
505_1_3000971,505,1,3000971,ebu3b rm b250a rh vlv,nae 05 n2 1 vma 106 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm b250a,vav,b250a,,ebu3b,,analog output
505_1_3001700,505,1,3001700,ebu3b rm 1200c htgflow,nae 05 n2 2 vma 106 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 1200c,vav,1200c,,ebu3b,,analog output
506_1_3002969,506,1,3002969,ebu3b rm 3134 htgflow,nae 06 n2 2 vma106 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 3134,vav,3134,,ebu3b,,analog output
505_1_3000977,505,1,3000977,ebu3b rm b250a htgflow,nae 05 n2 1 vma 106 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm b250a,vav,b250a,,ebu3b,,analog output
505_0_3001691,505,0,3001691,ebu3b rm 1200c acthtgsp,nae 05 n2 2 vma 106 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 1200c,vav,1200c,,ebu3b,,analog input
506_0_3002960,506,0,3002960,ebu3b rm 3134 acthtgsp,nae 06 n2 2 vma106 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 3134,vav,3134,,ebu3b,,analog input
505_0_3000968,505,0,3000968,ebu3b rm b250a acthtgsp,nae 05 n2 1 vma 106 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm b250a,vav,b250a,,ebu3b,,analog input
505_0_3001690,505,0,3001690,ebu3b rm 1200c actclgsp,nae 05 n2 2 vma 106 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 1200c,vav,1200c,,ebu3b,,analog input
506_0_3001277,506,0,3001277,ebu3b rm 2207 actclgsp,nae 06 n2 1 vma106 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 2207,vav,2207,,ebu3b,,analog input
506_0_3002959,506,0,3002959,ebu3b rm 3134 actclgsp,nae 06 n2 2 vma106 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 3134,vav,3134,,ebu3b,,analog input
505_0_3000967,505,0,3000967,ebu3b rm b250a actclgsp,nae 05 n2 1 vma 106 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm b250a,vav,b250a,,ebu3b,,analog input
505_1_3001699,505,1,3001699,ebu3b rm 1200c clgminflo,nae 05 n2 2 vma 106 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 1200c,vav,1200c,,ebu3b,,analog output
506_1_3001284,506,1,3001284,ebu3b rm 2207 clgminflo,nae 06 n2 1 vma106 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 2207,vav,2207,,ebu3b,,analog output
506_1_3002968,506,1,3002968,ebu3b rm 3134 clgminflo,nae 06 n2 2 vma106 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 3134,vav,3134,,ebu3b,,analog output
505_1_3000976,505,1,3000976,ebu3b rm b250a clgminflo,nae 05 n2 1 vma 106 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm b250a,vav,b250a,,ebu3b,,analog output
505_14_3001706,505,14,3001706,ebu3b rm 1200c occ cmd,nae 05 n2 2 vma 106 occ cmd,occupied command,,occupancy command,occupied command,,rm 1200c,vav,1200c,,ebu3b,,multi state output
506_14_3001289,506,14,3001289,ebu3b rm 2207 occ cmd,nae 06 n2 1 vma106 occ cmd,occupied command,,occupancy command,occupied command,,rm 2207,vav,2207,,ebu3b,,multi state output
506_14_3002974,506,14,3002974,ebu3b rm 3134 occ cmd,nae 06 n2 2 vma106 occ cmd,occupied command,,occupancy command,occupied command,,rm 3134,vav,3134,,ebu3b,,multi state output
505_14_3000982,505,14,3000982,ebu3b rm b250a occ cmd,nae 05 n2 1 vma 106 occ cmd,occupied command,,occupancy command,occupied command,,rm b250a,vav,b250a,,ebu3b,,multi state output
505_1_3001702,505,1,3001702,ebu3b rm 1200c htgpid o,nae 05 n2 2 vma 106 htgpid o,heating command,98.0,heating command,heating command,,rm 1200c,vav,1200c,,ebu3b,,analog output
506_1_3002971,506,1,3002971,ebu3b rm 3134 htgpid o,nae 06 n2 2 vma106 htgpid o,heating command,98.0,heating command,heating command,,rm 3134,vav,3134,,ebu3b,,analog output
505_1_3000979,505,1,3000979,ebu3b rm b250a htgpid o,nae 05 n2 1 vma 106 htgpid o,heating command,98.0,heating command,heating command,,rm b250a,vav,b250a,,ebu3b,,analog output
505_0_3001692,505,0,3001692,ebu3b rm 1200c dmpr pos,nae 05 n2 2 vma 106 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm 1200c,vav,1200c,,ebu3b,,analog input
506_0_3001278,506,0,3001278,ebu3b rm 2207 dmpr pos,nae 06 n2 1 vma106 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm 2207,vav,2207,,ebu3b,,analog input
506_0_3002961,506,0,3002961,ebu3b rm 3134 dmpr pos,nae 06 n2 2 vma106 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm 3134,vav,3134,,ebu3b,,analog input
505_0_3000969,505,0,3000969,ebu3b rm b250a dmpr pos,nae 05 n2 1 vma 106 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm b250a,vav,b250a,,ebu3b,,analog input
505_1_3001696,505,1,3001696,ebu3b rm 1200c dpr c,nae 05 n2 2 vma 106 dpr c,damper command,98.0,damper command,damper command,,rm 1200c,vav,1200c,,ebu3b,,analog output
506_1_3001281,506,1,3001281,ebu3b rm 2207 dpr c,nae 06 n2 1 vma106 dpr c,damper command,98.0,damper command,damper command,,rm 2207,vav,2207,,ebu3b,,analog output
506_1_3002965,506,1,3002965,ebu3b rm 3134 dpr c,nae 06 n2 2 vma106 dpr c,damper command,98.0,damper command,damper command,,rm 3134,vav,3134,,ebu3b,,analog output
505_1_3000973,505,1,3000973,ebu3b rm b250a dpr c,nae 05 n2 1 vma 106 dpr c,damper command,98.0,damper command,damper command,,rm b250a,vav,b250a,,ebu3b,,analog output
505_1_3001698,505,1,3001698,ebu3b rm 1200c clgmaxflo,nae 05 n2 2 vma 106 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm 1200c,vav,1200c,,ebu3b,,analog output
506_1_3001283,506,1,3001283,ebu3b rm 2207 clgmaxflo,nae 06 n2 1 vma106 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm 2207,vav,2207,,ebu3b,,analog output
506_1_3002967,506,1,3002967,ebu3b rm 3134 clgmaxflo,nae 06 n2 2 vma106 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm 3134,vav,3134,,ebu3b,,analog output
505_1_3000975,505,1,3000975,ebu3b rm b250a clgmaxflo,nae 05 n2 1 vma 106 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm b250a,vav,b250a,,ebu3b,,analog output
505_1_3001701,505,1,3001701,ebu3b rm 1200c clgpid o,nae 05 n2 2 vma 106 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 1200c,vav,1200c,,ebu3b,,analog output
506_1_3001286,506,1,3001286,ebu3b rm 2207 clgpid o,nae 06 n2 1 vma106 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 2207,vav,2207,,ebu3b,,analog output
506_1_3002970,506,1,3002970,ebu3b rm 3134 clgpid o,nae 06 n2 2 vma106 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 3134,vav,3134,,ebu3b,,analog output
505_1_3000978,505,1,3000978,ebu3b rm b250a clgpid o,nae 05 n2 1 vma 106 clgpid o,cooling command,98.0,cooling command,cooling command,,rm b250a,vav,b250a,,ebu3b,,analog output
505_0_3001708,505,0,3001708,ebu3b rm 1207 zn t,nae 05 n2 2 vma 107 zn t,zone temperature telecom room,64.0,zone temperature,zone temperature sensor,,rm 1207,vav,1207,,ebu3b,,analog input
506_0_3001291,506,0,3001291,ebu3b rm 2209 zn t,nae 06 n2 1 vma107 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm 2209,vav,2209,,ebu3b,,analog input
506_0_3002976,506,0,3002976,ebu3b rm 3132 zn t,nae 06 n2 2 vma107 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm 3132,vav,3132,,ebu3b,,analog input
505_0_3000984,505,0,3000984,ebu3b rm b260a zn t,nae 05 n2 1 vma 107 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm b260a,vav,b260a,,ebu3b,,analog input
505_1_3001714,505,1,3001714,ebu3b rm 1207 commonsp,nae 05 n2 2 vma 107 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 1207,vav,1207,,ebu3b,,analog output
506_1_3001297,506,1,3001297,ebu3b rm 2209 commonsp,nae 06 n2 1 vma107 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 2209,vav,2209,,ebu3b,,analog output
506_1_3002984,506,1,3002984,ebu3b rm 3132 commonsp,nae 06 n2 2 vma107 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 3132,vav,3132,,ebu3b,,analog output
505_1_3000992,505,1,3000992,ebu3b rm b260a commonsp,nae 05 n2 1 vma 107 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm b260a,vav,b260a,,ebu3b,,analog output
505_1_3026019,505,1,3026019,ebu3b rm 1207 w c adj,nae 05 n2 2 vma 107 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 1207,vav,1207,,ebu3b,,analog output
506_1_3015679,506,1,3015679,ebu3b rm 2209 w c adj,nae 06 n2 1 vma107 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 2209,vav,2209,,ebu3b,,analog output
506_1_3015717,506,1,3015717,ebu3b rm 3132 w c adj,nae 06 n2 2 vma107 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 3132,vav,3132,,ebu3b,,analog output
505_1_3025996,505,1,3025996,ebu3b rm b260a w c adj,nae 05 n2 1 vma 107 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm b260a,vav,b260a,,ebu3b,,analog output
505_1_3001716,505,1,3001716,ebu3b rm 1207 supflo sp,nae 05 n2 2 vma 107 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 1207,vav,1207,,ebu3b,,analog output
506_1_3001299,506,1,3001299,ebu3b rm 2209 supflo sp,nae 06 n2 1 vma107 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 2209,vav,2209,,ebu3b,,analog output
