bas_raw,point_type,haystack
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/RH Valve %","RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5011 Admin Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5011 Admin Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5011 Admin Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5011 Admin Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5011 Admin Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5011 Admin Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5011 Admin Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5011 Admin Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5011 Admin Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5011 Admin Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5011 Admin Office/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5011 Admin Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5011 Admin Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5011 Admin Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5011 Admin Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5011 Admin Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5013 Admin Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5013 Admin Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5013 Admin Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5013 Admin Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5013 Admin Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5013 Admin Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5013 Admin Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5013 Admin Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5013 Admin Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5013 Admin Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5013 Admin Office/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5013 Admin Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5013 Admin Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5013 Admin Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5013 Admin Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5013 Admin Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5101 Work/Copy/Print/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5101 Work/Copy/Print/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5101 Work/Copy/Print/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5101 Work/Copy/Print/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5101 Work/Copy/Print/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5101 Work/Copy/Print/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5101 Work/Copy/Print/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5101 Work/Copy/Print/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5101 Work/Copy/Print/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5101 Work/Copy/Print/RH Valve %","RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5101 Work/Copy/Print/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5101 Work/Copy/Print/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5101 Work/Copy/Print/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5101 Work/Copy/Print/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5101 Work/Copy/Print/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5101 Work/Copy/Print/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5103 Admin Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5103 Admin Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5103 Admin Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5103 Admin Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5103 Admin Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5103 Admin Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5103 Admin Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5103 Admin Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5103 Admin Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5103 Admin Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5103 Admin Office/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5103 Admin Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5103 Admin Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5103 Admin Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5103 Admin Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5103 Admin Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5105 Admin Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5105 Admin Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5105 Admin Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5105 Admin Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5105 Admin Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5105 Admin Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5105 Admin Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5105 Admin Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5105 Admin Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5105 Admin Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5105 Admin Office/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5105 Admin Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5105 Admin Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5105 Admin Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5105 Admin Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5105 Admin Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5107 Admin Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5107 Admin Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5107 Admin Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5107 Admin Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5107 Admin Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5107 Admin Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5107 Admin Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5107 Admin Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5107 Admin Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5107 Admin Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5107 Admin Office/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5107 Admin Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5107 Admin Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5107 Admin Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5107 Admin Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5107 Admin Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5109 Admin Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5109 Admin Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5109 Admin Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5109 Admin Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5109 Admin Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5109 Admin Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5109 Admin Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5109 Admin Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5109 Admin Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5109 Admin Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5109 Admin Office/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5109 Admin Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5109 Admin Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5109 Admin Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5109 Admin Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5109 Admin Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5111 Admin Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5111 Admin Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5111 Admin Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5111 Admin Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5111 Admin Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5111 Admin Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5111 Admin Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5111 Admin Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5111 Admin Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5111 Admin Office/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5111 Admin Office/RH Valve %","RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5111 Admin Office/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5111 Admin Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5111 Admin Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5111 Admin Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5111 Admin Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5111 Admin Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5113 Dean Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5113 Dean Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5113 Dean Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5113 Dean Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5113 Dean Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5113 Dean Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5113 Dean Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5113 Dean Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5113 Dean Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5113 Dean Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5113 Dean Office/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5113 Dean Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5113 Dean Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5113 Dean Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5113 Dean Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5113 Dean Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/Max CO2 Level","Max CO2 Level","max co2"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/RH Valve %","RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/ZCO2_HI","ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/Zone CO2","Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5117 Conference/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5119 Dean Suite/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5119 Dean Suite/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5119 Dean Suite/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5119 Dean Suite/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5119 Dean Suite/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5119 Dean Suite/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5119 Dean Suite/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5119 Dean Suite/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5119 Dean Suite/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5119 Dean Suite/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5119 Dean Suite/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5119 Dean Suite/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5119 Dean Suite/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5119 Dean Suite/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5119 Dean Suite/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/Max CO2 Level","Max CO2 Level","max co2"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/ZCO2_HI","ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/Zone CO2","Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5201 Classroom/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5202 Reception/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5202 Reception/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5202 Reception/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5202 Reception/Cool Request","Cool Request","vav cool cmd"
